target,Municipio_id,Ano,altitude,precipitacao (mm) 01,precipitacao (mm) 02,precipitacao (mm) 03,precipitacao (mm) 04,precipitacao (mm) 05,precipitacao (mm) 06,precipitacao (mm) 07,precipitacao (mm) 08,precipitacao (mm) 09,precipitacao (mm) 10,precipitacao (mm) 11,precipitacao (mm) 12,temperatura maxima (ºC) 01,temperatura maxima (ºC) 02,temperatura maxima (ºC) 03,temperatura maxima (ºC) 04,temperatura maxima (ºC) 05,temperatura maxima (ºC) 06,temperatura maxima (ºC) 07,temperatura maxima (ºC) 08,temperatura maxima (ºC) 09,temperatura maxima (ºC) 10,temperatura maxima (ºC) 11,temperatura maxima (ºC) 12,temperatura minima (ºC) 01,temperatura minima (ºC) 02,temperatura minima (ºC) 03,temperatura minima (ºC) 04,temperatura minima (ºC) 05,temperatura minima (ºC) 06,temperatura minima (ºC) 07,temperatura minima (ºC) 08,temperatura minima (ºC) 09,temperatura minima (ºC) 10,temperatura minima (ºC) 11,temperatura minima (ºC) 12,Mesorregião,Municipio
5250.0,3100302,2019,897,35.099998474121094,202.8999938964844,116.1999969482422,96.0999984741211,69.9000015258789,9.800000190734863,7.0,14.600000381469728,43.20000076293945,65.4000015258789,281.3999938964844,213.0,30.0,29.0,28.0,28.0,26.0,25.0,24.0,24.0,27.0,28.0,27.0,28.0,17.0,17.0,17.0,15.0,13.0,10.0,8.0,10.0,13.0,16.0,16.0,16.0,Zona Da Mata,Abre Campo - MG
5550.0,3100302,2020,897,431.7000122070313,270.8999938964844,212.1999969482422,69.5999984741211,47.09999847412109,10.300000190734863,18.600000381469727,24.600000381469727,34.70000076293945,163.0,164.39999389648438,206.5,28.0,27.0,27.0,26.0,25.0,25.0,24.0,24.0,29.0,27.0,26.0,28.0,17.0,17.0,16.0,14.0,10.0,10.0,10.0,10.0,13.0,16.0,16.0,16.0,Zona Da Mata,Abre Campo - MG
4800.0,3100302,2021,897,130.5,361.8999938964844,128.39999389648438,51.59999847412109,21.799999237060547,23.899999618530277,2.799999952316284,30.799999237060547,27.5,259.20001220703125,207.8000030517578,178.8000030517578,29.0,27.0,29.0,26.0,26.0,24.0,23.0,25.0,28.0,25.0,26.0,26.0,17.0,16.0,16.0,13.0,11.0,9.0,7.0,10.0,14.0,15.0,15.0,16.0,Zona Da Mata,Abre Campo - MG
4920.0,3100302,2022,897,228.5,338.1000061035156,31.200000762939453,53.400001525878906,30.899999618530277,5.199999809265137,4.900000095367432,7.699999809265137,59.20000076293945,135.3000030517578,326.20001220703125,300.0,28.0,28.0,29.0,27.0,24.0,24.0,25.0,24.0,25.0,27.0,25.0,26.0,17.0,17.0,16.0,14.0,10.0,9.0,10.0,10.0,12.0,16.0,14.0,16.0,Zona Da Mata,Abre Campo - MG
7380.0,3100302,2023,897,273.20001220703125,78.5999984741211,65.0999984741211,101.9000015258789,32.20000076293945,6.199999809265137,21.600000381469727,65.0999984741211,25.799999237060547,101.4000015258789,80.19999694824219,124.3000030517578,27.0,28.0,29.0,26.0,25.0,24.0,24.0,25.0,28.0,27.0,29.0,29.0,16.0,17.0,16.0,14.0,12.0,10.0,9.0,12.0,15.0,16.0,17.0,17.0,Zona Da Mata,Abre Campo - MG
20208.0,3101607,2019,830,127.1999969482422,232.8999938964844,184.0,114.8000030517578,48.900001525878906,9.300000190734863,22.200000762939453,24.5,71.0,90.9000015258789,193.3000030517578,190.1000061035156,31.0,28.0,29.0,28.0,27.0,26.0,25.0,25.0,29.0,30.0,28.0,29.0,18.0,18.0,17.0,16.0,13.0,11.0,8.0,11.0,15.0,17.0,17.0,17.0,Sul/Sudoeste De Minas,Alfenas - MG
21750.0,3101607,2020,830,325.0,386.7999877929688,113.0,31.799999237060547,23.600000381469727,8.5,2.5,11.899999618530272,22.0,76.30000305175781,95.4000015258789,314.20001220703125,29.0,27.0,28.0,27.0,26.0,26.0,26.0,26.0,31.0,29.0,28.0,29.0,18.0,18.0,16.0,14.0,10.0,11.0,10.0,11.0,15.0,17.0,17.0,17.0,Sul/Sudoeste De Minas,Alfenas - MG
13399.0,3101607,2021,830,177.89999389648438,202.6999969482422,116.1999969482422,16.600000381469727,22.399999618530277,26.799999237060547,5.5,8.100000381469727,17.799999237060547,202.1000061035156,185.1000061035156,233.1999969482422,30.0,28.0,30.0,27.0,26.0,24.0,24.0,27.0,31.0,27.0,28.0,28.0,18.0,17.0,17.0,14.0,11.0,10.0,7.0,11.0,15.0,16.0,16.0,17.0,Sul/Sudoeste De Minas,Alfenas - MG
9170.0,3101607,2022,830,288.29998779296875,249.8000030517578,122.4000015258789,64.80000305175781,35.20000076293945,16.399999618530273,4.400000095367432,16.200000762939453,87.0999984741211,131.39999389648438,157.10000610351562,270.8999938964844,29.0,28.0,30.0,28.0,25.0,25.0,26.0,26.0,27.0,29.0,27.0,28.0,18.0,18.0,17.0,15.0,10.0,10.0,10.0,11.0,14.0,17.0,15.0,17.0,Sul/Sudoeste De Minas,Alfenas - MG
22190.0,3101607,2023,830,285.6000061035156,237.3999938964844,171.6999969482422,93.5,31.399999618530277,23.799999237060547,10.300000190734863,21.200000762939453,36.900001525878906,177.60000610351562,172.3000030517578,147.1999969482422,28.0,29.0,30.0,27.0,26.0,24.0,25.0,27.0,31.0,29.0,30.0,31.0,17.0,18.0,17.0,15.0,11.0,10.0,10.0,13.0,16.0,18.0,19.0,18.0,Sul/Sudoeste De Minas,Alfenas - MG
