treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
Café Arábica - 2019-2023 - Produção,3100302,2019-12-31T00:00:00,5250.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3100302,2020-12-31T00:00:00,5550.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3100302,2021-12-31T00:00:00,4800.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3100302,2022-12-31T00:00:00,4920.0,5000.0,1.63,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3101607,2019-12-31T00:00:00,20208.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3101607,2020-12-31T00:00:00,21750.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3101607,2021-12-31T00:00:00,13399.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3101607,2022-12-31T00:00:00,9170.0,15804.0,72.34,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3101904,2019-12-31T00:00:00,10706.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3101904,2020-12-31T00:00:00,14350.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3101904,2021-12-31T00:00:00,8823.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3101904,2022-12-31T00:00:00,8162.0,9766.0,19.65,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102001,2019-12-31T00:00:00,6878.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102001,2020-12-31T00:00:00,8425.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102001,2021-12-31T00:00:00,4212.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102001,2022-12-31T00:00:00,4126.0,5209.0,26.25,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102050,2019-12-31T00:00:00,3828.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102050,2020-12-31T00:00:00,6144.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102050,2021-12-31T00:00:00,2430.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102050,2022-12-31T00:00:00,3750.0,3039.0,18.96,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102605,2019-12-31T00:00:00,11502.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102605,2020-12-31T00:00:00,17976.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102605,2021-12-31T00:00:00,4788.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102605,2022-12-31T00:00:00,7056.0,7067.0,0.16,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102852,2019-12-31T00:00:00,5000.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
Café Arábica - 2019-2023 - Produção,3102852,2020-12-31T00:00:00,6315.0,-,-,treino,V16,LSTM,"Modelo treinado apenas sem o uso de variaveis exogens, entre os anos de 2019-2022 e prevendo 2023. Com os dados brutos de precipitação mensal.",2025-06-17T16:02:30
